Date,Open,High,Low,Close,Volume,Date_year,Date_month,Date_day,Date_day_of_week,Open_x_High,Open_x_Low,High_x_Low,Open_scaled,High_scaled,Low_scaled,Close_scaled,Volume_scaled
1995-12-15,0.316964,0.327009,0.30692,0.314732,726880000,1995,12,15,4,0.10365008067600001,0.09728259088000002,0.10036560228000001,-0.6395031531234715,-0.6393428899970885,-0.6396980508752468,-0.6397109359898279,1.800205500487534
1995-12-18,0.313616,0.314732,0.284598,0.287946,666534400,1995,12,18,0,0.09870499091200001,0.08925448636800001,0.08957209773600001,-0.6397667634951323,-0.6403004302467844,-0.6414751965094742,-0.6418211940626374,1.543916766246929
1995-12-19,0.292411,0.296875,0.287946,0.292411,430864000,1995,12,19,1,0.086809515625,0.08419857780599999,0.08548396875,-0.6414363745856541,-0.6416931806124125,-0.641208648548566,-0.6414694318624173,0.5430207851981523
1995-12-20,0.299107,0.300223,0.290179,0.291295,365736000,1995,12,20,2,0.089798800861,0.086794570153,0.08711840991700001,-0.6409091538423325,-0.641432054542853,-0.6410308702938742,-0.6415573527169405,0.2664211212023993
1995-12-21,0.292411,0.292411,0.282366,0.290179,332875200,1995,12,21,3,0.08550419292099999,0.082566924426,0.082566924426,-0.6414363745856541,-0.6420413487051585,-0.6416528951500797,-0.6416452735714635,0.1268607748286178
1995-12-22,0.291295,0.293527,0.28683,0.287946,234662400,1995,12,22,4,0.085502947465,0.08355214485,0.08419234940999999,-0.641524244709541,-0.6419543066819721,-0.6412974978688687,-0.6418211940626374,-0.2902505671453734
1995-12-26,0.290179,0.290179,0.283482,0.286272,139507200,1995,12,26,1,0.08420385204100002,0.08226052327800001,0.08226052327800001,-0.6416121148334278,-0.6422154327515315,-0.641564045829777,-0.641953075344422,-0.6943762327185321
1995-12-27,0.28683,0.297991,0.284598,0.289063,268564800,1995,12,27,2,0.08547275853,0.08163124433999999,0.084807642618,-0.6418758039417588,-0.6416061385892261,-0.6414751965094742,-0.6417331944259865,-0.14626652881086874
1995-12-28,0.28683,0.292411,0.284598,0.285714,249995200,1995,12,28,3,0.08387224712999998,0.08163124433999999,0.083219585778,-0.6418758039417588,-0.6420413487051585,-0.6414751965094742,-0.6419970357716835,-0.2251319188203199
1995-12-29,0.285714,0.289063,0.282366,0.284598,304136000,1995,12,29,4,0.08258934598200002,0.080675919324,0.081621563058,-0.6419636740656457,-0.6423024747747179,-0.6416528951500797,-0.6420849566262066,0.004804929976837495
1996-01-02,0.287946,0.287946,0.283482,0.28683,139294400,1996,1,2,1,0.08291289891599998,0.081627507972,0.081627507972,-0.6417879338178719,-0.6423895947925489,-0.641564045829777,-0.6419091149171605,-0.6952799977427659
1996-01-03,0.285714,0.293527,0.284598,0.28683,429833600,1996,1,3,2,0.083864773278,0.081313632972,0.083537197146,-0.6419636740656457,-0.6419543066819721,-0.6414751965094742,-0.6419091149171605,0.5386446598176521
1996-01-04,0.289063,0.289063,0.280134,0.281808,300182400,1996,1,4,3,0.08355741796900001,0.080976374442,0.080976374442,-0.6416999849573147,-0.6423024747747179,-0.6418305937906851,-0.6423047587625144,-0.01198607284182129
1996-01-05,0.282366,0.305804,0.280134,0.305804,445928000,1996,1,5,4,0.08634865226400001,0.079100317044,0.08566609773600001,-0.6422272844373065,-0.6409967664322762,-0.6418305937906851,-0.6404143028260125,0.6069978355978579
1996-01-08,0.308036,0.316964,0.303571,0.309152,121340800,1996,1,8,0,0.097636322704,0.09351079655599999,0.096221078444,-0.640206114114567,-0.6401263462004113,-0.6399646784502413,-0.6401505402624433,-0.7715292258399614
1996-01-09,0.309152,0.309152,0.292411,0.292411,251216000,1996,1,9,1,0.09557495910399999,0.09039944547199999,0.09039944547199999,-0.6401182439906801,-0.6407356403627168,-0.6408531716532687,-0.6414694318624173,-0.2199471615760315
1996-01-10,0.290179,0.310268,0.287946,0.305804,365433600,1996,1,10,2,0.090033257972,0.083555882334,0.08934042952799999,-0.6416121148334278,-0.6406485983395303,-0.641208648548566,-0.6404143028260125,0.2651368235363829
1996-01-11,0.291295,0.3125,0.289063,0.3125,756739200,1996,1,11,3,0.09102968750000001,0.084202606585,0.09033218750000001,-0.641524244709541,-0.6404745142931573,-0.6411197196141769,-0.639886777698874,1.9270180033615971
1996-01-12,0.310268,0.310268,0.296875,0.302455,401856000,1996,1,12,4,0.09626623182399999,0.0921108125,0.0921108125,-0.640030373866793,-0.6406485983395303,-0.6404977743720577,-0.6406781441717095,0.4198233424210242
1996-01-15,0.301339,0.308036,0.297991,0.304688,363081600,1996,1,15,0,0.092823260204,0.08979630994900001,0.091791955676,-0.6407334135945586,-0.6408226823859033,-0.6404089250517551,-0.6405022236805356,0.2551478416895887
1996-01-16,0.30692,0.310268,0.300223,0.308594,352912000,1996,1,16,1,0.09522745456000001,0.09214444316000002,0.09314958976400001,-0.6402939842384539,-0.6406485983395303,-0.6402312264111495,-0.6401945006897048,0.21195738684725962
1996-01-17,0.30692,0.30692,0.301339,0.303571,236409600,1996,1,17,2,0.09419988640000002,0.09248696588000002,0.09248696588000002,-0.6402939842384539,-0.6409097244090898,-0.6401423770908468,-0.6405902233171865,-0.282830180630612
